250	0	10		
260	0	10
270	0	10
280	0	10
290	0	10
300	0	10
310	0	10
320	0	10
330	0	10
340	0	10
350	0	10
360	1	10
370	8	10
380	36	10
390	91	10
400	164	10
410	281	10
420	328	10
430	408	10
440	546	10
450	644	10
460	754	10
470	861	10
480	945	10
490	1091	10
500	1144	10
510	1279	10
520	1367	10
530	1422	10
540	1540	10
550	1635	10
560	1710	10
570	1798	10
580	1888	10
590	1928	10
600	2014	10
610	2072	10
620	2085	10
630	2169	10
640	2213	10
650	2264	10
660	2281	10
670	2374	10
680	2354	10
690	2418	10
700	2455	10
710	2428	10
720	2537	10
730	2569	10
740	2556	10
750	2607	10
760	2653	10
770	2575	10
780	2637	10
790	2600	10
800	2677	10
810	2699	10
820	2605	10
830	2604	10
840	2681	10
850	2622	10
860	2674	10
870	2620	10
880	2714	10
890	2668	10
900	2608	10
910	2723	10
920	2646	10
930	2764	10
940	2787	10
950	2753	10
960	2637	10
970	2677	10
